estimated_population_2019	death_rate
472406	0.1081
104476	0.1176
18228	0.2
34309	0.4286
182594	0.0244
273012	0.0545
17264943	0.0868
58017	0.0571
13577	0.2
14529	0.5
35845	0.0667
34276	0.25
8180	1
73497	0.1818
11179	1
5638	0.1
15491	0.125
7544	1
80792	0.0667
297378	0.0793
884122	0.0231
27602	0.2
261469	0.028
102400	0.0455
43899	0.1111
8202	0.2
12279	1
10786	0.6667
33287	1
3506853	0.0497
128969	0.0741
529544	0.0233
55058	0.25
1777225	0.0266
210305	0.0909
10065	0.5
120454	0.0556
346616	0.0455
16254	0.5
38461	0.5
25877	0.5
35070	0.0714
281519	0.05
24293	0.2
84014	0.0476
44161	0.0175
246748	0.0741
203275	0.0846
1483771	0.0317
236835	0.0244
17502	0.0909
3030	0.5
51715	0.3333
4569	1
66218	0.25
71554	0.1667
11377239	0.0363
8513	0.1875
13071	0.25
142295	0.0222
10979	0.1667
33450	0.0217
82989	0.0441
16684	1
215186	0.0354
500973	0.015
69639	0.05
69425	0.1111
219536	0.0375
65312	0.0556
590466	0.0179
16916	1
171797	0.0357
3976	0.25
32531	0.1667
21388	0.1667
17453	1
246586	0.0196
13410	0.0588
30374	0.05
8676	0.5
105686	0.0476
21268	0.125
7164788	0.0221
657013	0.037
41928	0.125
34356	0.3333
10855	1
40484	0.2
2298696	0.0393
18705	0.2
37214	0.0714
239597	0.0714
25228	0.5
22364	0.3333
197016	0.0333
6357	0.2222
236072	0.0536
134236	0.0833
89824	0.0213
104386	0.25
142761	0.0333
90655	0.0667
36126	0.2
122098	0.0833
274182	0.0514
62508	0.5
376818	0.0706
146497	0.0385
168668	0.1957
4191	1
101470	0.1408
76801	0.12
1204073	0.0375
84650	0.125
47138	0.3333
121532	0.16
400927	0.0428
121862	0.2727
17896	1
249210	0.0822
35292	0.125
82238	0.2
423884	0.0586
46793	0.3333
15494	0.5
273726	0.0842
69385	0.15
194276	0.0581
353187	0.1111
175844	0.0606
154489	0.094
21220	1
29798	0.25
320459	0.0504
1379182	0.0925
230851	0.087
8159	1
11166	0.0769
251627	0.1818
101816	0.1429
175693	0.0753
163901	0.0909
237700	0.1485
74773	0.1765
370821	0.1089
120858	0.1667
173939	0.1
61252	0.2
77263	0.2667
233662	0.0333
124937	0.075
30044	1
418962	0.1444
31444	1
28516	0.4
7260	0.5
103391	0.5
68432	0.2
306114	0.0345
